reporter_iso3,year,hs_cmd,imports_from_china_usd
VNM,2017,84,7525696400.1
VNM,2017,85,20118270625.0
VNM,2018,84,7950734403.56
VNM,2018,85,21437582172.43
VNM,2019,84,10142687582.82
VNM,2019,85,25986120991.84
VNM,2020,84,9754766953.206
VNM,2020,85,35237238363.791
VNM,2021,84,12170989863.148
VNM,2021,85,45330703394.808
VNM,2022,85,9786948053.296
VNM,2022,84,1786664547.717
VNM,2022,84,104148241.261
VNM,2022,85,622769211.775
VNM,2022,85,16943383026.893
VNM,2022,84,1852959204.075
VNM,2022,85,17997792797.877
VNM,2022,84,9165443197.589
VNM,2022,84,12909215190.642
VNM,2022,85,45350893089.841
VNM,2023,84,2661364914.538
VNM,2023,85,13321683740.244
VNM,2023,84,289033980.416
VNM,2023,85,965851647.369
VNM,2023,84,1176021051.997
VNM,2023,85,13597709732.628
VNM,2023,84,7713368181.756
VNM,2023,85,14951414938.207
VNM,2023,84,11839788128.708
VNM,2023,85,42836660058.449
MEX,2018,85,34008176895.0
MEX,2018,84,18480638952.0
MEX,2018,84,2876309751.0
MEX,2018,85,8711001815.0
MEX,2018,84,5998393588.0
MEX,2018,85,8931642559.0
MEX,2018,84,9579070542.0
MEX,2018,85,16294183635.0
MEX,2018,84,837379.0
MEX,2018,85,4193052.0
MEX,2018,84,26027692.0
MEX,2018,85,67155834.0
MEX,2019,84,18848236486.0
MEX,2019,85,31544043229.0
MEX,2019,85,31544043229.0
MEX,2019,84,18848236486.0
MEX,2019,85,8462591133.0
MEX,2019,84,2830518423.0
MEX,2019,84,2830518423.0
MEX,2019,85,8462591133.0
MEX,2019,85,8781655023.0
MEX,2019,84,6301318266.0
MEX,2019,84,6301318266.0
MEX,2019,85,8781655023.0
MEX,2019,85,14264291986.0
MEX,2019,84,9707106656.0
MEX,2019,84,9707106656.0
MEX,2019,85,14264291986.0
MEX,2019,85,34596023.0
MEX,2019,84,8356122.0
MEX,2019,85,34596023.0
MEX,2019,84,8356122.0
MEX,2019,84,937019.0
MEX,2019,84,937019.0
MEX,2019,85,909064.0
MEX,2019,85,909064.0
MEX,2020,85,27556872109.0
MEX,2020,84,16412514232.0
MEX,2020,84,2672800755.0
MEX,2020,85,7089074846.0
MEX,2020,84,5919998790.0
MEX,2020,85,8158510296.0
MEX,2020,84,7813892410.0
MEX,2020,85,12289118431.0
MEX,2020,85,1562137.0
MEX,2020,84,461676.0
MEX,2020,85,18606399.0
MEX,2020,84,5360601.0
MEX,2021,85,35272120207.0
MEX,2021,84,20585432644.0
MEX,2021,85,9240498667.0
MEX,2021,84,3651153506.0
MEX,2021,84,8498813860.0
MEX,2021,85,14550096957.0
MEX,2021,84,8420310461.0
MEX,2021,85,11440833175.0
MEX,2021,85,22913107.0
MEX,2021,84,1785348.0
MEX,2021,84,13369469.0
MEX,2021,85,17778301.0
MEX,2022,84,5961805.0
MEX,2022,85,11624212.0
MEX,2022,84,13596414.0
MEX,2022,85,42191246.0
MEX,2022,84,9467777123.0
MEX,2022,85,15771847199.0
MEX,2022,84,10737728946.0
MEX,2022,85,14071416999.0
MEX,2022,84,3414597494.0
MEX,2022,85,10752188400.0
MEX,2022,84,23639661782.0
MEX,2022,85,40649268056.0
MEX,2023,85,10005446.0
MEX,2023,84,1817296.0
MEX,2023,85,16189512.0
MEX,2023,84,6232471.0
MEX,2023,85,16066135815.0
MEX,2023,84,11579058075.0
MEX,2023,85,14378155579.0
MEX,2023,84,7425548319.0
MEX,2023,85,9359142139.0
MEX,2023,84,2688438577.0
MEX,2023,85,39829628491.0
MEX,2023,84,21701094738.0
MEX,2024,84,1193054.0
MEX,2024,85,6510114.0
MEX,2024,84,7420892.0
MEX,2024,85,13207678.0
MEX,2024,84,14190848947.0
MEX,2024,85,17101857258.0
MEX,2024,84,8448566502.0
MEX,2024,85,15103171253.0
MEX,2024,84,2709586748.0
MEX,2024,85,10547765567.0
MEX,2024,84,25357616143.0
MEX,2024,85,42772511870.0
THA,2017,84,7385928059.42
THA,2017,85,13250436248.34
THA,2017,84,1368766304.64
THA,2017,85,7003044554.11
THA,2017,84,5416250441.95
THA,2017,85,5515537756.91
THA,2017,84,113760.74
THA,2017,85,278974.61
THA,2017,84,600558682.59
THA,2017,85,729732827.2
THA,2017,84,112014.89
THA,2017,85,1658748.02
THA,2017,84,126854.61
THA,2017,85,183387.49
THA,2018,84,8420496553.17
THA,2018,85,15029510688.41
THA,2018,85,7463147780.1
THA,2018,84,1382004973.24
THA,2018,84,6327997231.88
THA,2018,85,6311796527.74
THA,2018,84,75374.68
THA,2018,85,228898.25
THA,2018,84,710009656.49
THA,2018,85,1251535131.57
THA,2018,84,300376.09
THA,2018,85,2763364.16
THA,2018,84,108940.79
THA,2018,85,38986.59
THA,2019,85,57199.914
THA,2019,84,556070.933
THA,2019,85,41.793
THA,2019,84,18012.032
THA,2019,84,1626.538
THA,2019,85,1983.007
THA,2019,84,89677.277
THA,2019,85,128893.22
THA,2019,84,215767.411
THA,2019,85,14042.429
THA,2019,85,4537.688
THA,2019,85,1274.498
THA,2019,84,85.229
THA,2019,85,47678.145
THA,2019,85,507297.997
THA,2019,84,4984.911
THA,2019,85,11706.393
THA,2019,84,2921.619
