,niip_gdp,cape,savings,mfg_share,yield_10y
1976-01-01,4424.035985975182,11.2,12.066666666666668,22.059248544655276,7.754032258064516
1976-04-01,4591.536506414616,10.899999999999999,11.799999999999999,22.092200177975144,7.773015873015873
1976-07-01,4747.375908930444,10.6,11.6,22.07250904563593,7.7321875
1976-10-01,4863.506857615239,10.3,11.033333333333333,22.007076136676357,7.178196721311475
1977-01-01,4957.38813505457,10.0,10.133333333333333,22.046029818769643,7.356984126984127
1977-04-01,5156.210707769653,9.725,10.466666666666667,22.05526452952888,7.366031746031746
1977-07-01,5354.281126075243,9.45,10.833333333333334,21.996917970938387,7.358888888888889
1977-10-01,5583.915130736923,9.175,11.200000000000001,21.91346947234462,7.597166666666666
1978-01-01,5823.28533294594,8.9,11.333333333333334,21.93372349584111,8.007704918032786
1978-04-01,6616.27494549957,9.0,10.366666666666667,21.77755899077343,8.325555555555555
1978-07-01,7526.409645214532,9.100000000000001,10.666666666666666,21.739690490261932,8.485396825396826
1978-10-01,8327.008347769777,9.200000000000001,10.533333333333333,21.78450218088359,8.815081967213116
1979-01-01,9192.158663189015,9.3,11.1,21.788686623529852,9.105483870967742
1979-04-01,9586.233963801984,9.3,10.366666666666667,21.726379267852096,9.115
1979-07-01,9917.509039142438,9.3,9.9,21.554506132520498,9.095079365079366
1979-10-01,10305.472004487712,9.3,9.833333333333334,21.34140114274203,10.437868852459017
1980-01-01,10640.817652039075,9.3,10.1,21.167208959000803,11.955806451612903
1980-04-01,9987.82062464788,9.075000000000001,11.4,20.70517971892161,10.477619047619049
1980-07-01,9169.562710507991,8.850000000000001,11.5,20.408801958917785,10.94171875
1980-10-01,8188.070098812384,8.625,11.433333333333332,20.481626904966156,12.405573770491804
1981-01-01,7265.590041117647,8.4,10.833333333333334,20.449765202381297,12.950655737704919
1981-04-01,7267.45215542483,8.15,10.833333333333334,20.529860224590696,13.74047619047619
1981-07-01,7136.059552065273,7.9,12.200000000000001,20.4793018055388,14.8384375
1981-10-01,7178.77370826422,7.65,12.766666666666666,20.185830410426302,14.116721311475409
1982-01-01,7279.902709035392,7.4,12.233333333333334,19.842567663113954,14.268032786885247
1982-04-01,7327.432523442573,8.1,12.4,19.509954185200957,13.942063492063493
1982-07-01,7424.42345087606,8.8,12.233333333333334,19.21599395678451,13.1125
1982-10-01,7515.28040202659,9.5,11.0,18.863666082797256,10.66344262295082
1983-01-01,7528.445364832803,10.2,11.0,18.772505535709566,10.555873015873015
1983-04-01,6458.935948103971,10.149999999999999,9.799999999999999,18.82282244743105,10.549999999999999
1983-07-01,5443.406242960832,10.1,9.5,18.9219475237541,11.63640625
1983-10-01,4492.535126568435,10.05,10.033333333333333,19.010180629317436,11.689166666666667
1984-01-01,3585.9279324185386,10.0,10.966666666666667,19.03748043294031,11.954516129032257
1984-04-01,3271.528763086402,10.45,11.133333333333333,19.03719299879881,13.213968253968254
1984-07-01,2992.238477076575,10.9,11.6,18.95965332597009,12.873174603174602
1984-10-01,2729.7663690286076,11.350000000000001,11.133333333333333,18.790360536772933,11.760655737704917
1985-01-01,2465.1739599940242,11.8,9.233333333333333,18.609329452224486,11.586500000000001
1985-04-01,2456.845779644494,12.850000000000001,10.133333333333333,18.35458000520953,10.823492063492063
1985-07-01,2433.5998238340576,13.9,8.166666666666666,18.141150803538828,10.335555555555555
1985-10-01,2430.062235407262,14.95,8.9,17.98200346915979,9.766129032258064
1986-01-01,2423.1270744165677,16.0,9.299999999999999,17.865354881703208,8.567
1986-04-01,2130.2696827960062,16.35,9.466666666666667,17.725970145524986,7.59796875
1986-07-01,1832.249668975788,16.7,8.433333333333334,17.553535595834898,7.30546875
1986-10-01,1546.2809709751336,17.049999999999997,7.8999999999999995,17.42123912439411,7.264032258064516
1987-01-01,1262.4741749319592,17.4,8.566666666666666,17.330865534820187,7.195409836065574
1987-04-01,1042.0325166036919,16.775,6.3999999999999995,17.24007101788905,8.342698412698413
1987-07-01,830.1165612834741,16.15,7.033333333333334,17.218200885358225,8.8696875
1987-10-01,619.2749032846285,15.525,8.166666666666666,17.188269334712054,9.129032258064516
