,exports,consumption,fx,ip
1983-01-01,34.79682163695552,,98.87874116517843,85.5004941258321
1983-04-01,43.872813321718915,,99.63768561795085,86.76421105893142
1983-07-01,49.24090275454066,,101.70581414600639,88.92584159511725
1983-10-01,44.565842842299055,,98.2175279056187,90.98769824328386
1984-01-01,60.54775503513452,,96.85899580045329,94.04722261752289
1984-04-01,70.41465604480311,,96.38085548144882,95.31094745663552
1984-07-01,64.3835440139915,,102.18989748362802,96.74094366174913
1984-10-01,86.86104051544172,,103.24757301103249,98.86930569391079
1985-01-01,73.52983859933376,,108.03445776177809,99.00232436791424
1985-04-01,95.52155994001325,,105.21450241971748,100.09976993501257
1985-07-01,100.0,,100.0,100.0
1985-10-01,124.75557566553728,,86.91382259432197,100.03325664500417
1986-01-01,131.15892932861712,,78.78847160663423,99.73395079297313
1986-04-01,183.79698996021204,,71.26939241933714,99.76720743797733
1986-07-01,200.56616898977597,,65.37521842341364,99.46790949195959
1986-10-01,187.04488371809478,,67.31328573697904,99.40140015495787
1987-01-01,191.63612068066266,,64.27822108812335,100.33255459102193
1987-04-01,175.26005435113925,,59.839499343331404,100.53209050804041
1987-07-01,154.89664037617706,,61.656259159240456,103.89092073431053
1987-10-01,159.05727291939584,,56.90743769479116,107.316264250589
1988-01-01,155.07996709398873,,53.69212478717,110.1989390130133
1988-04-01,154.0713822692278,,52.739074354574186,111.88258384327119
1988-07-01,155.52492301835775,,56.088839318675554,113.20545752099045
1988-10-01,193.26301406328955,,52.50693305560091,114.92919374476227
1989-01-01,161.6861384274205,,53.927692061581425,118.17622898976961
1989-04-01,141.08528536380177,,57.87535266571652,119.37886406400709
1989-07-01,128.8324783956931,,59.706949052808675,119.09820059136979
1989-10-01,117.75331126052104,,60.04909912227908,119.61936498901065
1990-01-01,111.82260049609638,,62.084729826178574,120.78186518666098
1990-04-01,118.42940685187418,,65.19119459987962,123.34744556709833
1990-07-01,122.68632571667774,,60.820279201616266,125.31169457489368
1990-10-01,92.5843360477293,,54.91284877828318,126.9552361526177
